Mot/Expression,Frequence
decide,6
know feel,6
dropped,6
says loves,6
ends,6
feel need,6
eyes,6
feel comfortable,6
sensitive,6
ive felt,6
just need,6
term,6
send,6
saved,5
say dont,5
years old,5
dads,5
having problems,5
history,5
feel overwhelmed,5
financially,5
texting,5
said dont,5
wants relationship,5
addicted,5
address,5
having anxiety,5
having panic,5
got really,5
bipolar disorder,5
binge,5
bills,5
positive,5
just makes,5
claims,5
want just,5
super,5
important thing,5
nuts,5
conversations,5
convinced,5
intimate,5
changes,5
sessions,5
dead,5
